source,target, weatherStationId,commsIssuesFlag,createdAt,dataIssuesFlag,dlfLossFactor,generationWatt,latitude,longitude,mlfLossFactor,nearestBomStationId,nextProcessDueAt,nodeType,performanceSinceInceptionSortKey,pvSizeWatt,timezone
SITE|8d655e82-ce8b-4311-a3b8-ef4b8b1aef5a,SITE|8d655e82-ce8b-4311-a3b8-ef4b8b1aef5a,,FALSE,2023-06-13T05:59:34.275675Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009977,2023-07-16T08:42:41.409386+00:00,SITE,132,5000,Australia/Perth
SITE|888db468-6e55-40a4-b0e4-97e8f881a7e8,SITE|888db468-6e55-40a4-b0e4-97e8f881a7e8,,FALSE,2023-06-28T23:44:53.839626Z,FALSE,,,-26.4390917,133.281323,,au.bom.site.009215,,SITE,,0,Australia/Perth
SITE|08295e55-b2d0-4575-9590-211bd87b4b7f,SITE|08295e55-b2d0-4575-9590-211bd87b4b7f,,FALSE,2023-06-19T06:40:32.826195Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,2023-07-28T10:03:22.943109+00:00,SITE,,5000,Australia/Perth
SITE|ac6b6796-65fa-4434-b667-a5e8551f19f1,SITE|ac6b6796-65fa-4434-b667-a5e8551f19f1,,,2023-01-18T03:36:53.915335Z,,,,-26.4390917,133.281323,,au.bom.site.066214,,SITE,,0,Australia/Sydney
SITE|fc32063a-fe0c-424d-af23-a5f8ac372681,SITE|fc32063a-fe0c-424d-af23-a5f8ac372681,,,2022-11-21T05:21:46.077640Z,,,0,-26.4390917,133.281323,,au.bom.site.009178,2023-05-03T09:44:50.213847+00:00,SITE,97,99800,Australia/Perth
SITE|f45a89ad-c9d9-4ab0-af36-ca21327f7b6b,SITE|f45a89ad-c9d9-4ab0-af36-ca21327f7b6b,,FALSE,2023-06-13T01:21:40.165442Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.140009,2023-07-15T17:42:27.463330+00:00,SITE,112,20000,Australia/Brisbane
SITE|b1c622f3-a554-409c-9449-b76f15fefd80,SITE|b1c622f3-a554-409c-9449-b76f15fefd80,,,2023-01-18T04:22:55.677267Z,,,0,-26.4390917,133.281323,,au.bom.site.040913,2023-05-03T09:47:05.192726+00:00,SITE,78,99970,Australia/Brisbane
SITE|a02a02b6-fe04-4444-911d-21ad4828e3d4,SITE|a02a02b6-fe04-4444-911d-21ad4828e3d4,,FALSE,2023-06-15T04:49:46.397160Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040211,2023-07-18T18:45:43.999942+00:00,SITE,69,80000,Australia/Brisbane
SITE|27b120f5-a6b7-4466-8567-9bec60cf4cb9,SITE|27b120f5-a6b7-4466-8567-9bec60cf4cb9,,FALSE,2023-06-19T05:49:42.588174Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.069147,2023-07-28T08:51:41.595962+00:00,SITE,,30000,Australia/Sydney
SITE|38b147b2-89e7-496c-9f8c-ecb5cb5c3012,SITE|38b147b2-89e7-496c-9f8c-ecb5cb5c3012,,,2023-02-22T03:20:55.451604Z,,,0,-26.4390917,133.281323,,au.bom.site.074148,2023-06-23T10:49:59.537233+00:00,SITE,53,57960,Australia/Sydney
